"videostatsid","ytvideoid","views","comments","likes","dislikes","timestamp"
"131","DfggRtdOiTE","846868","2734","5190","204","2019-04-15 04:44:48"
"132","t0t9dul8bOw","1198492","4567","27037","926","2019-04-15 04:44:49"
"133","O8CCQopoCAE","538617","4393","40765","429","2019-04-15 04:44:49"
"134","pY8O7-mpdUk","1194972","3745","10624","1964","2019-04-15 04:44:50"
"135","BPExj-3kaAc","830611","7842","29562","430","2019-04-15 04:44:50"
"136","TW-kag5GG9s","629190","2811","22285","502","2019-04-15 04:44:51"
"137","zaWyIKas2Ww","234859","536","1399","50","2019-04-15 04:44:51"
"138","uv9kDcbJLi8","942589","2601","53000","990","2019-04-15 04:44:52"
"139","f2AuCmxtOSA","406272","2161","21231","334","2019-04-15 04:44:52"
"140","81UpjkAuHJM","343735","642","6082","271","2019-04-15 04:44:52"
"141","NJo8CjVpIEw","883470","2427","7907","1164","2019-04-15 04:44:53"
"142","NbhiGb_pZ-g","2244377","14616","123451","1866","2019-04-15 04:44:53"
"143","HkdPYRxYMdc","1442319","6351","56644","1849","2019-04-15 04:44:54"
"144","f5bJ5acwZtI","1979184","19061","210774","4148","2019-04-15 04:44:54"
"145","LLR0jg7Xu9M","621678","525","11958","156","2019-04-15 04:44:55"
"146","0flfyCjIh8M","953525","2546","20152","360","2019-04-15 04:44:55"
"147","QaZ93sibpk0","21373679","51602","546231","38161","2019-04-15 04:44:56"
"148","mQ2fJ_aM_T0","1227903","5775","53155","621","2019-04-15 04:44:56"
"149","26EivpCPHnQ","2853915","20940","130436","1313","2019-04-15 04:44:57"
"150","cKiX2rUB6sY","516477","3571","34984","1036","2019-04-15 04:44:58"
"151","IdzY6lcCiCM","702068","2835","24388","265","2019-04-15 04:44:58"
"152","MdVTBGEuxhM","899322","2064","31600","707","2019-04-15 04:44:59"
"153","bQ3gBKDa8RY","1290853","1891","34628","465","2019-04-15 04:44:59"
"154","_cdt2CLalhA","605533","1886","17618","3423","2019-04-15 04:45:00"
"155","SR5kfWXfxto","6982443","34409","224110","3460","2019-04-15 04:45:00"
"156","ZEWGyyLiqY4","798843","1588","20140","530","2019-04-15 04:45:01"
"157","OzUXonhJo3Y","1790734","4356","43477","1158","2019-04-15 04:45:01"
"158","QZsthdsh6yk","33823540","84252","706217","189071","2019-04-15 04:45:02"
"159","r7CWEE3ZAWs","5874963","25672","317109","12820","2019-04-15 04:45:02"
"160","YSJlU2q58Bc","5614236","6344","189159","2497","2019-04-15 04:45:03"
"161","550f3BEWEwQ","445887","517","5547","254","2019-04-15 04:45:03"
"162","YPZ1f52jlm8","382107","828","18745","223","2019-04-15 04:45:04"
"163","UoUeBLp5KlI","946023","3464","21383","834","2019-04-15 04:45:04"
"164","LKtajrJUggU","542811","1103","9597","297","2019-04-15 04:45:05"
"165","81UOofW82FY","9481130","15992","302094","2656","2019-04-15 04:45:05"
"166","T4Q0pElKWY0","3348926","17675","235357","1235","2019-04-15 04:45:06"
"167","8SGbIHoKewM","787501","1233","11645","516","2019-04-15 04:45:06"
"168","198gzllaumo","13668422","15375","293720","6096","2019-04-15 04:45:07"
"169","3_ZSwppz2ak","559756","2183","20229","407","2019-04-15 04:45:07"
"170","7TavVZMewpY","23746266","45728","489741","20624","2019-04-15 04:45:07"
"171","6cFAYjQw2CA","1838265","6680","29122","1094","2019-04-15 04:45:08"
"172","5HoE9Tn5oug","1452864","4901","91966","558","2019-04-15 04:45:08"
"173","Ms5yMta2p9A","2321325","7752","207859","1428","2019-04-15 04:45:09"
"174","-ze37NCz5oI","922982","6091","36486","296","2019-04-15 04:45:09"
"175","jjanTQjvkUM","395916","849","2848","229","2019-04-15 04:45:10"
"176","kQ1xE4sK9Qk","1053327","1482","22842","446","2019-04-15 04:45:10"
"177","iVn37ndpkIc","367641","1509","7524","165","2019-04-15 04:45:11"
"178","KUaVjms6yyY","4788674","14806","245778","4315","2019-04-15 04:45:12"
"179","RQOhAeNAjKc","889374","4103","38053","466","2019-04-15 04:45:12"
"180","Kb1a3OSVjXk","1699092","1391","39976","518","2019-04-15 04:45:13"
"181","nyU2mFp3ru0","190766","418","3122","102","2019-04-15 04:45:13"
"182","pAoEHR4aW8I","4908491","15988","133929","3787","2019-04-15 04:45:14"
"183","S_GVbuddri8","5124350","24193","212065","2659","2019-04-15 04:45:14"
"184","D3nT0piQDgA","1197439","5516","68366","3153","2019-04-15 04:45:15"
"185","29Uy9z0lzcw","1398343","7398","55101","2185","2019-04-15 04:45:15"
"186","15odjKT7MPA","790243","1393","6211","193","2019-04-15 04:45:16"
"187","u8tdT5pAE34","7229731","50141","532943","2837","2019-04-15 04:45:16"
"188","17A_wsy6WX0","2395009","17523","248616","7506","2019-04-15 04:45:17"
"189","W_VzAap2vl0","1209247","5956","14724","1331","2019-04-15 04:45:17"
"190","tV1S5mKN_b8","920089","4151","32461","1104","2019-04-15 04:45:18"
"191","HUsIcK1a4B0","5158828","11973","262289","2794","2019-04-15 04:45:18"
"192","z5MCMhXSdQM","639184","1378","4728","277","2019-04-15 04:45:19"
"193","AkK_n5Q8M38","1062534","3721","33983","1153","2019-04-15 04:45:19"
"194","LL2jKGvyC8Y","200732","763","1738","71","2019-04-15 04:45:20"
"195","m1MewpFNBdc","1919046","8831","181971","1557","2019-04-15 04:45:20"
"196","ECdQ6OV-rkU","2222840","4172","60132","525","2019-04-15 04:45:21"
"197","N2DdOs5OhxY","1100255","3999","49247","916","2019-04-15 04:45:21"
"198","zxVmyC5xqUE","421429","3120","10121","442","2019-04-15 04:45:22"
"199","0GLbwkfhYZk","5744250","28261","185550","10899","2019-04-15 05:00:02"
"200","O4NB73HTlxI","3712582","31684","279172","4736","2019-04-15 05:00:03"
"201","VVRcXtSjPcE","259816","1025","4617","87","2019-04-15 05:00:03"
"202","adzYW5DZoWs","21596828","79258","478741","61742","2019-04-15 05:00:04"
"203","p_8yK2kmxoo","2419643","10747","133797","1328","2019-04-15 05:00:05"
"204","g7itQNVeFB4","562600","4110","19958","1105","2019-04-15 05:00:05"
"205","BJzJtm7OfdQ","739925","5571","54372","783","2019-04-15 05:00:06"
"206","qOkZiVlQHMs","704419","1515","16602","191","2019-04-15 05:00:06"
"207","I47_jCtfYlE","1241267","5030","15021","453","2019-04-15 05:00:07"
"208","5jDsPkPjVK4","537090","3279","24026","820","2019-04-15 05:00:07"
"209","C4_UntN6O2A","735331","2992","30453","402","2019-04-15 05:00:08"
"210","a5vg_Yi42Ok","1356193","3735","36025","1324","2019-04-15 05:00:08"
"211","CikXQvz57ZU","373289","738","8251","210","2019-04-15 05:00:09"
"212","2x8guH7hsgc","2118422","31786","37962","26386","2019-04-15 05:00:09"
"213","AFWIu243KY8","221509","461","1477","131","2019-04-15 05:00:10"
"214","h3P5Hrblbe0","225144","462","14460","44","2019-04-15 05:00:10"
"215","VSPuRXkUWoU","1509846","8820","230251","427","2019-04-15 05:00:11"
"216","AJKDh52Ehac","217258","1031","6689","141","2019-04-15 05:00:11"
"217","KMwuyXQcWfI","559203","993","6873","181","2019-04-15 05:00:11"
"218","u5jugGl_pu0","579302","3131","55605","133","2019-04-15 05:00:12"
"219","kOd19ljsklQ","2464905","10688","117096","967","2019-04-15 05:00:12"
"220","_aHE8lgalJU","169935","6236","20321","63","2019-04-15 05:00:13"
"221","04WYGo4rfdw","930658","2005","15130","558","2019-04-15 05:00:13"
"222","QuderoyWqII","6729720","40753","326451","10963","2019-04-15 05:00:14"
"223","zKfmiAYiC-M","1527776","4771","24642","1365","2019-04-15 05:00:14"
"224","6gfh2UfcJFw","352528","1462","18674","175","2019-04-15 05:00:15"
"225","nKh_yq627WM","532040","7508","47541","346","2019-04-15 05:00:15"
"226","XsX3ATc3FbA","127992630","2752418","8047028","335316","2019-04-15 05:00:16"
"227","mWkP7esvuiw","1068723","1781","14282","254","2019-04-15 05:00:16"
